Aalig, Abart, Abbau, Abend, Abort, Abzug, Acker, Adeln, Adler, Affix, After, 
Agent, Ahorn, Aktiv, Alarm, Alane, Alibi, Alles, Altar, Ambra, Ampel, 
Amsel, Amüse, Artig, Anbau, Angel, Angst, Anion, Anker, Anmut, Anode, Anruf, 
Antik, Anzug, Aorta, Apfel, Arche, Areal, Arsch, Asset, Atem, Atoll, 
Audio, Audit, Außen, Autor, Axiom, Backe, Baden, Banal, Baron, Baske, 
Bauen, Beben, Beize, Belag, Beleg, Besen, Beule, Beute, Bezug, Bibel, 
Biene, Biest, Binse, Birne, Blatt, Blick, Blind, Blond, Boden, Bogen, 
Bogig, Bohle, Bonus, Borke, Boxer, Brand, Braut, Braun, Breit, Brief, 
Brise, Bruch, Bruck, Bucht, Bühne, Chaos, Chlor, Cello, Clown, Coach, 
Comic, Couch, Curry, Dachs, Dampf, Dauer, Degen, Depot, Diele, Dille, 
Docht, Doyen, Drall, Drama, Drang, Dröge, Druck, Ducht, Duell, Dünne, 
Dunst, Durst, Dusel, Ebene, Edikt, Eifer, Ehre, Eiche, Eilen, Eisen, 
Eisig, Eiter, Eklat, Elend, Elite, Empor, Enkel, Erker, Ernte, Erpel, 
Esche, Essay, Essen, Essig, Ethik, Euter, Exakt, Faden, Fahrt, Falke, 
Farbe, Faust, Fazit, Feder, Fehde, Feier, Feige, Felge, Ferse, Feuer, 
Fibel, Figur, Firma, Firne, Flach, Flank, Fleck, Flink, Flitz, Flott, 
Flöte, Fluch, Flunk, Fluss, Fokus, Forst, Forum, Frack, Frage, Fratz, 
Fremd, Frost, Fromm, Frust, Fuchs, Fuder, Furie, Gabel, Galan, Galle, Garbe, 
Garen, Gauch, Geben, Gebet, Gehen, Geist, Gelee, Gelse, Genau, Genom, 
Gicht, Gilde, Gimpel, Glanz, Glied, Glimm, Glück, Gnade, Gramm, Greis, 
Griff, Grips, Groll, Grund, Gugel, Gully, Gunst, Guppy, Hader, Hafen, 
Hafer, Hagel, Hager, Halde, Halle, Hallo, Handy, Harem, Harfe, Harst, 
Hasel, Haube, Hauch, Hauen, Haupt, Hebel, Hecht, Hecke, Helix, Helle, 
Henne, Heppe, Herab, Heran, Herbe, Herde, Herme, Herrn, Hertz, Herzu, 
Hespe, Hetze, Heuer, Heule, Heute, Hexen, Hieve, Hilfe, Hinab, Hinan, 
Hinde, Hinge, Hinke, Hinzu, Hippe, Hirse, Hirte, Hitze, Hobel, Hocke, 
Hoden, Hoffe, Höher, Hohle, Höhne, Höker, Holen, Holle, Holme, Holte, 
Honig, Hopfe, Horde, Hören, Horte, Hotel, Hübel, Hügel, Hühne, Hulde, 
Hülle, Hulst, Human, Humid, Humor, Humus, Humpen, Hürde, Hurra, Husar, 
Husch, Hutze, Hyäne, Hymne, Ideal, Idole, Idyll, Ikone, Iltis, Imker, 
Immer, Immun, Impfe, Index, Inder, Indio, Indiz, Inert, Infam, Infix, 
Inful, Ingot, Inlay, Innen, Innig, Input, Insel, Intim, Inuit, Irbis, 
